datetime,ts_code,last_zg,notify,down_notify,up_notify
2021-03-09,SZ002835,10.82,True,True,True
2021-03-09,SZ002878,17.35,True,True,True
2021-03-09,SZ002782,14.04,True,True,True
2021-03-09,SZ002889,22.8,True,True,True
2021-03-09,SZ002783,9.76,True,True,True
2021-03-09,SZ002827,10.85,True,True,True
2021-03-09,SZ002828,8.1,True,True,True
2021-03-09,SZ002905,8.81,True,True,True
2021-03-09,SZ003004,27.05,True,True,True
2021-03-09,SZ002927,10.11,True,True,True
2021-03-09,SZ002996,12.75,True,True,True
2021-03-09,SZ002997,14.45,True,True,True
2021-03-09,SZ003013,17.45,True,True,True
2021-03-09,SZ003006,18.92,True,True,True
2021-03-09,SZ002973,20.31,True,True,True
2021-03-09,SZ003007,25.43,True,True,True
2021-03-09,SZ002999,10.86,True,True,True
2021-03-09,SZ003008,30.4,True,True,True
2021-03-09,SZ002939,10.67,True,True,True
2021-03-09,SZ003017,42.42,True,True,True
2021-03-09,SZ002975,88.93,True,True,True
2021-03-09,SZ003018,11.08,True,True,True
2021-03-09,SZ002987,42.07,True,True,True
2021-03-09,SZ003001,27.52,True,True,True
2021-03-09,SZ003019,26.08,True,True,True
2021-03-09,SZ002928,14.8,True,True,True
2021-03-09,SZ002918,34.14,True,True,True
2021-03-09,SZ002980,41.37,True,True,True
2021-03-09,SZ002953,18.0,True,True,True
2021-03-09,SZ002942,26.05,True,True,True
2021-03-09,SZ002919,43.0,True,True,True
2021-03-09,SZ002898,8.2,True,True,True
2021-03-09,SZ002943,14.76,True,True,True
2021-03-09,SZ300027,3.72,True,True,True
2021-03-09,SZ002957,18.0,True,True,True
2021-03-09,SZ002945,11.81,True,True,True
2021-03-09,SZ002958,4.39,True,True,True
2021-03-09,SZ300048,4.38,True,True,True
2021-03-09,SZ300019,16.0,True,True,True
2021-03-09,SZ002948,5.02,True,True,True
2021-03-09,SZ300031,15.72,True,True,True
2021-03-09,SZ002936,3.7,True,True,True
2021-03-09,SZ002913,51.5,True,True,True
2021-03-09,SZ300041,12.6,True,True,True
2021-03-09,SZ300012,23.22,True,True,True
2021-03-09,SZ300033,116.18,True,True,True
2021-03-09,SZ300080,4.58,True,True,True
2021-03-09,SZ300063,4.78,True,True,True
2021-03-09,SZ300102,5.73,True,True,True
2021-03-09,SZ300113,14.13,True,True,True
2021-03-09,SZ300046,16.7,True,True,True
2021-03-09,SZ300103,9.86,True,True,True
2021-03-09,SZ300151,27.7,True,True,True
2021-03-09,SZ300075,9.48,True,True,True
2021-03-09,SZ300142,39.09,True,True,True
2021-03-09,SZ300095,9.11,True,True,True
2021-03-09,SZ300125,14.0,True,True,True
2021-03-09,SZ300172,5.69,True,True,True
2021-03-09,SZ300174,14.8,True,True,True
2021-03-09,SZ300202,7.15,True,True,True
2021-03-09,SZ300183,13.5,True,True,True
2021-03-09,SZ300224,12.4,True,True,True
2021-03-09,SZ300214,7.31,True,True,True
2021-03-09,SZ300235,10.98,True,True,True
2021-03-09,SZ300178,3.16,True,True,True
2021-03-09,SZ300226,51.3,True,True,True
2021-03-09,SZ300253,16.56,True,True,True
2021-03-09,SZ300215,5.8,True,True,True
2021-03-09,SZ300263,6.22,True,True,True
2021-03-09,SZ300283,5.13,True,True,True
2021-03-09,SZ300180,5.98,True,True,True
2021-03-09,SZ300228,5.65,True,True,True
2021-03-09,SZ300294,23.01,True,True,True
2021-03-09,SZ300230,4.15,True,True,True
2021-03-09,SZ300257,14.88,True,True,True
2021-03-09,SZ300286,13.4,True,True,True
2021-03-09,SZ300258,12.5,True,True,True
2021-03-09,SZ300305,9.19,True,True,True
2021-03-09,SZ300279,4.84,True,True,True
2021-03-09,SZ300260,13.71,True,True,True
2021-03-09,SZ300306,8.04,True,True,True
2021-03-09,SZ300261,5.95,True,True,True
2021-03-09,SZ300307,7.23,True,True,True
2021-03-09,SZ300376,6.0,True,True,True
2021-03-09,SZ300301,3.62,True,True,True
2021-03-09,SZ300397,13.85,True,True,True
2021-03-09,SZ300311,5.38,True,True,True
2021-03-09,SZ300398,14.74,True,True,True
2021-03-09,SZ300390,23.66,True,True,True
2021-03-09,SZ300374,12.3,True,True,True
2021-03-09,SZ300401,12.72,True,True,True
2021-03-09,SZ300412,8.01,True,True,True
2021-03-09,SZ300487,39.4,True,True,True
2021-03-09,SZ300449,7.63,True,True,True
2021-03-09,SZ300430,7.2,True,True,True
2021-03-09,SZ300394,39.72,True,True,True
2021-03-09,SZ300415,15.71,True,True,True
2021-03-09,SZ300498,17.81,True,True,True
2021-03-09,SZ300472,8.61,True,True,True
2021-03-09,SZ300474,69.3,True,True,True
2021-03-09,SZ300446,7.23,True,True,True
2021-03-09,SZ300485,11.18,True,True,True
2021-03-09,SZ300522,27.5,True,True,True
2021-03-09,SZ300590,24.03,True,True,True
2021-03-09,SZ300514,9.34,True,True,True
2021-03-09,SZ300562,16.06,True,True,True
2021-03-09,SZ300526,71.71,True,True,True
2021-03-09,SZ300554,15.42,True,True,True
2021-03-09,SZ300612,16.12,True,True,True
2021-03-09,SZ300565,14.14,True,True,True
2021-03-09,SZ300575,32.7,True,True,True
2021-03-09,SZ300576,40.14,True,True,True
2021-03-09,SZ300585,11.3,True,True,True
2021-03-09,SZ300596,33.87,True,True,True
2021-03-09,SZ300617,38.5753,True,True,True
2021-03-09,SZ300598,68.13,True,True,True
2021-03-09,SZ300674,34.07,True,True,True
2021-03-09,SZ300627,21.0,True,True,True
2021-03-09,SZ300666,40.28,True,True,True
2021-03-09,SZ300620,34.6,True,True,True
2021-03-09,SZ300715,37.9,True,True,True
2021-03-09,SZ300677,205.0,True,True,True
2021-03-09,SZ300630,43.7,True,True,True
2021-03-09,SZ300687,25.55,True,True,True
2021-03-09,SZ300651,44.68,True,True,True
2021-03-09,SZ300670,7.39,True,True,True
2021-03-09,SZ300758,23.31,True,True,True
2021-03-09,SZ300718,16.95,True,True,True
2021-03-09,SZ300781,26.35,True,True,True
2021-03-09,SZ300791,85.1,True,True,True
2021-03-09,SZ300771,24.21,True,True,True
2021-03-09,SZ300709,40.2,True,True,True
2021-03-09,SZ300700,15.61,True,True,True
2021-03-09,SZ300813,39.93,True,True,True
2021-03-09,SZ300797,14.1,True,True,True
2021-03-09,SZ300817,21.65,True,True,True
2021-03-09,SZ300799,41.9,True,True,True
2021-03-09,SZ300868,33.73,True,True,True
2021-03-09,SZ300879,27.5,True,True,True
2021-03-09,SZ300859,18.82,True,True,True
2021-03-09,SZ300848,46.8,True,True,True
2021-03-09,SZ300890,39.8,True,True,True
2021-03-09,SZ300870,54.2,True,True,True
2021-03-09,SZ300909,43.5,True,True,True
2021-03-09,SZ300881,27.98,True,True,True
2021-03-09,SZ300891,16.05,True,True,True
2021-03-09,SZ300882,22.5,True,True,True
2021-03-09,SZ300872,31.02,True,True,True
2021-03-09,SZ300902,26.21,True,True,True
2021-03-09,SZ300912,37.33,True,True,True
2021-03-09,SZ300921,38.11,True,True,True
2021-03-09,SZ300931,10.71,True,True,True
2021-03-09,SZ300883,11.96,True,True,True
2021-03-09,SZ300832,110.32,True,True,True
2021-03-09,SZ300894,46.0,True,True,True
2021-03-09,SZ300851,31.4,True,True,True
2021-03-09,SZ300935,84.99,True,True,True
2021-03-09,SZ300905,53.28,True,True,True
2021-03-09,SZ300936,47.0,True,True,True
2021-03-09,SZ300926,20.01,True,True,True
2021-03-09,SZ300906,41.42,True,True,True
2021-03-09,SZ300927,31.01,True,True,True
2021-03-09,SZ300842,47.2,True,True,True
2021-03-09,SZ300928,42.62,True,True,True
2021-03-09,SZ300886,41.6,True,True,True
2021-03-09,SZ300876,32.68,True,True,True
2021-03-09,SZ300897,35.6,True,True,True
2021-03-09,SZ300865,32.5,True,True,True
2021-03-09,SZ300877,41.63,True,True,True
2021-03-09,SZ300855,32.44,True,True,True
2021-03-09,SH600070,6.93,True,True,True
2021-03-09,SH600016,5.06,True,True,True
2021-03-09,SH600071,13.08,True,True,True
2021-03-09,SH600028,4.33,True,True,True
2021-03-09,SH600115,4.71,True,True,True
2021-03-09,SH600126,5.11,True,True,True
2021-03-09,SH600127,8.85,True,True,True
2021-03-09,SH600117,3.38,True,True,True
2021-03-09,SH600085,25.1,True,True,True
2021-03-09,SH600129,12.66,True,True,True
2021-03-09,SH600009,54.7,True,True,True
2021-03-09,SH600119,6.72,True,True,True
2021-03-09,SH600109,11.8,True,True,True
2021-03-09,SH600023,3.38,True,True,True
2021-03-09,SH600067,3.21,True,True,True
2021-03-09,SH600080,5.17,True,True,True
2021-03-09,SH600231,2.32,True,True,True
2021-03-09,SH600280,3.09,True,True,True
2021-03-09,SH600249,4.81,True,True,True
2021-03-09,SH600227,2.76,True,True,True
2021-03-09,SH600216,14.73,True,True,True
2021-03-09,SH600285,8.34,True,True,True
2021-03-09,SH600228,10.51,True,True,True
2021-03-09,SH600160,8.11,True,True,True
2021-03-09,SH600265,15.8,True,True,True
2021-03-09,SH600278,8.34,True,True,True
2021-03-09,SH600352,15.93,True,True,True
2021-03-09,SH600415,4.77,True,True,True
2021-03-09,SH600376,5.43,True,True,True
2021-03-09,SH600366,6.83,True,True,True
2021-03-09,SH600329,17.0,True,True,True
2021-03-09,SH600433,5.28,True,True,True
2021-03-09,SH600356,7.47,True,True,True
2021-03-09,SH600435,7.5,True,True,True
2021-03-09,SH600379,6.98,True,True,True
2021-03-09,SH600348,4.82,True,True,True
2021-03-09,SH600382,5.62,True,True,True
2021-03-09,SH600323,23.5,True,True,True
2021-03-09,SH600325,5.95,True,True,True
2021-03-09,SH600480,7.86,True,True,True
2021-03-09,SH600505,5.71,True,True,True
2021-03-09,SH600482,16.36,True,True,True
2021-03-09,SH600577,3.31,True,True,True
2021-03-09,SH600509,4.52,True,True,True
2021-03-09,SH600557,10.28,True,True,True
2021-03-09,SH600521,25.18,True,True,True
2021-03-09,SH600589,2.84,True,True,True
2021-03-09,SH600580,11.23,True,True,True
2021-03-09,SH600500,5.03,True,True,True
2021-03-09,SH600547,20.75,True,True,True
2021-03-09,SH600501,8.31,True,True,True
2021-03-09,SH600535,13.08,True,True,True
2021-03-09,SH600478,3.79,True,True,True
2021-03-09,SH600562,13.52,True,True,True
2021-03-09,SH600655,9.91,True,True,True
2021-03-09,SH600610,4.7,True,True,True
2021-03-09,SH600693,4.07,True,True,True
2021-03-09,SH600683,4.09,True,True,True
2021-03-09,SH600601,3.37,True,True,True
2021-03-09,SH600612,50.05,True,True,True
2021-03-09,SH600623,7.26,True,True,True
2021-03-09,SH600707,8.25,True,True,True
2021-03-09,SH600686,6.36,True,True,True
2021-03-09,SH600674,10.4,True,True,True
2021-03-09,SH600688,3.38,True,True,True
2021-03-09,SH600711,6.73,True,True,True
2021-03-09,SH600823,4.32,True,True,True
2021-03-09,SH600738,6.5,True,True,True
2021-03-05,SH600749,10.15,True,True,True
2021-03-09,SH600764,25.17,True,True,True
2021-03-09,SH600775,5.98,True,True,True
2021-03-09,SH600855,13.13,True,True,True
2021-03-09,SH600865,6.84,True,True,True
2021-03-09,SH600789,7.1,True,True,True
2021-03-09,SH600976,24.28,True,True,True
2021-03-09,SH600903,9.2,True,True,True
2021-03-09,SH600977,12.81,True,True,True
2021-03-09,SH600987,5.36,True,True,True
2021-03-09,SH600895,16.0,True,True,True
2021-03-09,SH600980,14.7,True,True,True
2021-03-09,SH600896,4.11,True,True,True
2021-03-09,SH601069,12.48,True,True,True
2021-03-09,SH601003,5.92,True,True,True
2021-03-09,SH600993,17.4,True,True,True
2021-03-09,SH600926,15.85,True,True,True
2021-03-09,SH600928,5.11,True,True,True
2021-03-09,SH601088,17.6,True,True,True
2021-03-09,SH601319,5.85,True,True,True
2021-03-09,SH601208,12.43,True,True,True
2021-03-09,SH601595,11.18,True,True,True
2021-03-09,SH601231,19.11,True,True,True
2021-03-09,SH601169,4.69,True,True,True
2021-03-09,SH601375,4.28,True,True,True
2021-03-09,SH601211,15.99,True,True,True
2021-03-09,SH601236,13.42,True,True,True
2021-03-09,SH601377,8.22,True,True,True
2021-03-09,SH601601,41.5,True,True,True
2021-03-09,SH601628,31.9,True,True,True
2021-03-09,SH601688,16.67,True,True,True
2021-03-09,SH601336,50.95,True,True,True
2021-03-09,SH601158,4.92,True,True,True
2021-03-09,SH601298,6.47,True,True,True
2021-03-09,SH601225,10.6,True,True,True
2021-03-09,SH601198,11.29,True,True,True
2021-03-09,SH601698,15.05,True,True,True
2021-03-09,SH601658,5.8,True,True,True
2021-03-09,SH601579,8.92,True,True,True
2021-03-09,SH601838,10.71,True,True,True
2021-03-09,SH601699,5.72,True,True,True
2021-03-09,SH601880,1.68,True,True,True
2021-03-09,SH601818,4.0,True,True,True
2021-03-09,SH601366,6.43,True,True,True
2021-03-09,SH601989,3.94,True,True,True
2021-03-09,SH601881,10.08,True,True,True
2021-03-09,SH601828,8.63,True,True,True
2021-03-09,SH601990,10.0,True,True,True
2021-03-09,SH601918,2.86,True,True,True
2021-03-09,SH603069,15.13,True,True,True
2021-03-09,SH601966,40.94,True,True,True
2021-03-09,SH603076,45.79,True,True,True
2021-03-09,SH601968,6.92,True,True,True
2021-03-09,SH601866,2.49,True,True,True
2021-03-09,SH603038,11.4,True,True,True
2021-03-09,SH601969,5.3,True,True,True
2021-03-09,SH603058,7.01,True,True,True
2021-03-09,SH603029,11.03,True,True,True
2021-03-09,SH601933,6.78,True,True,True
2021-03-09,SH603019,28.07,True,True,True
2021-03-09,SH601899,9.73,True,True,True
2021-03-09,SH601998,5.05,True,True,True
2021-03-09,SH603009,5.0,True,True,True
2021-03-09,SH603063,16.24,True,True,True
2021-03-09,SH601878,12.49,True,True,True
2021-03-09,SH603032,10.72,True,True,True
2021-03-09,SH601901,8.05,True,True,True
2021-03-09,SH603113,19.8,True,True,True
2021-03-09,SH603000,16.5,True,True,True
2021-03-09,SH603033,20.28,True,True,True
2021-03-09,SH603103,14.13,True,True,True
2021-03-09,SH603160,123.47,True,True,True
2021-03-09,SH603220,11.1,True,True,True
2021-03-09,SH603322,14.79,True,True,True
2021-03-09,SH603136,26.3,True,True,True
2021-03-09,SH603238,28.2,True,True,True
2021-03-09,SH603223,19.67,True,True,True
2021-03-09,SH603326,10.73,True,True,True
2021-03-09,SH603239,14.32,True,True,True
2021-03-09,SH603156,24.61,True,True,True
2021-03-09,SH603258,27.76,True,True,True
2021-03-09,SH603305,31.66,True,True,True
2021-03-09,SH603178,8.25,True,True,True
2021-03-09,SH603538,29.5,True,True,True
2021-03-09,SH603377,13.16,True,True,True
2021-03-09,SH603605,165.69,True,True,True
2021-03-09,SH603339,8.7,True,True,True
2021-03-09,SH603590,33.61,True,True,True
2021-03-09,SH603505,26.08,True,True,True
2021-03-09,SH603398,7.89,True,True,True
2021-03-09,SH603383,24.3,True,True,True
2021-03-09,SH603351,19.64,True,True,True
2021-03-09,SH603598,10.04,True,True,True
2021-03-09,SH603559,13.07,True,True,True
2021-03-09,SH603626,8.76,True,True,True
2021-03-09,SH603610,25.35,True,True,True
